character_name,release_year,best_of_episodes,non_best_of_episodes,episodes
"Obi Ron Kenobi","2022",1,2,3
"David","2017",0,1,1
"Scott's nephew Todd","2013",0,1,1
"Tierna Smarg","2022",0,1,1
"JW Stillwater","2014",1,1,2
"Alimony Tony","2019",2,0,2
"Kareem","2015",0,2,2
"Paul Stanley","2009",0,2,2
"Pie Minister","2022",0,1,1
"Spaghetti Capellini","2019",0,1,1
"Clive Dundee","2014",1,0,1
"Rick Faber","2016",0,1,1
"Paul Funyuns","2014",0,1,1
"The Time Master","2016",0,1,1
"Burnt Millipede","2022",0,1,1
"Dr. John","2023",0,1,1
"Bone Queef","2022",0,1,1
"Bobby Bottleservice","2010",0,1,1
"Shelly Driftwood","2018",0,1,1
"Ben Alterman","2014",1,0,1
"The Rum Tum Tugger","2022",0,1,1
"Brock Lovett","2019",1,1,2
"Fabrice Fabrice","2013",0,1,1
"Santa","2015",2,0,2
"Ming","2017",2,2,4
"Carissa","2021",1,0,1
"Doug Gropes","2016",0,2,2
"Kareem","2014",1,0,1
"Gary Busey","2009",0,1,1
"Ghost Boy","2010",0,1,1
"Barry R","2012",0,1,1
"Cyberthug","2009",1,0,1
"Merrill Shindler","2012",0,2,2
"Shelly Driftwood","2015",0,2,2
"Todd","2019",1,4,5
"Werner Herzog","2019",0,1,1
"Chico Hands","2020",1,0,1
"Billy Crystal","2012",0,1,1
"Ice-T","2013",0,3,3
"Dalton Wilcox","2019",1,4,5
"Rick Faber","2014",0,1,1
"The Griz","2022",2,0,2
"Kayla Dickie","2018",0,1,1
"Leo Karpatze","2018",1,0,1
"Bob Ducca","2022",1,0,1
"Randy Snutz","2023",0,2,2
"Ice-T","2009",1,2,3
"JW Stillwater","2015",0,2,2
"Cake Boss","2012",1,2,3
"The Griz","2023",0,1,1
"Shelly Driftwood","2014",0,1,1
"Al A. Peterson","2016",1,2,3
"The Time Keeper","2021",0,1,1
"Cal Solomon","2021",1,0,1
"Paul Giamatti","2013",0,3,3
"Morpheus, The Dream Lord","2020",0,1,1
"Big Chunky Bubbles","2019",0,1,1
"Bean Dip","2021",1,0,1
"Jarles","2019",1,0,1
"Big Sue","2020",0,1,1
"Leo Karpatze","2016",0,1,1
"Leo Karpatze","2015",0,1,1
"Todd","2017",2,0,2
"JW Stillwater","2018",0,1,1
"John Lennon","2019",0,2,2
"The Chief","2021",1,0,1
"Garry Marshall","2010",0,1,1
"Lord Andrew Lloyd Webber","2019",0,2,2
"Hot Dog","2019",0,1,1
"John Lennon","2017",2,2,4
"Werner Herzog","2017",1,0,1
"Lord Andrew Lloyd Webber","2017",1,0,1
"Garry Marshall","2022",0,1,1
"Skip Weller","2021",0,1,1
"Tyra Grass","2022",0,1,1
